imdb_id,domestic_distributor,domestic_opening,budget,mpaa,running_time,genres,domestic_revenue,international_revenue,worldwide_revenue
tt1512685,,0,0,,1 hr 58 min,Horror Mystery Thriller,0,16934369,16934369
tt1709695,,0,0,,1 hr 32 min,Documentary History,0,0,0
tt1615918,Twentieth Century Fox,23244744,75000000,G,1 hr 27 min,Adventure Comedy Family Fantasy Music Musical,133110742,209584693,342695435
tt0048119,Twentieth Century Fox,0,0,,1 hr 49 min,Biography Crime Drama History Mystery Romance Thriller,0,0,0
tt1714209,FilmDistrict,18854,0,R,2 hr 7 min,Drama Romance War,303877,899822,1203699
tt1634121,Millennium Entertainment,40746,0,R,1 hr 40 min,Fantasy Horror Thriller,69136,5417423,5486559
tt1720616,Roadside Attractions,2019083,0,R,1 hr 47 min,Comedy Drama Romance,7251073,5790181,13041254
tt0040695,,0,0,,1 hr 26 min,Crime Film-Noir Thriller,0,0,0
tt0041871,,0,0,,1 hr 19 min,Crime Drama Film-Noir Romance,0,0,0
tt0029940,,0,0,,1 hr 26 min,Comedy Romance,0,0,0
tt0064679,,0,0,,1 hr 37 min,Drama Romance,0,0,0
tt0022725,,0,0,,1 hr 16 min,Drama,0,0,0
tt0023101,,0,0,,1 hr 26 min,Drama Horror,0,0,0
